DEP;DEPNOMBRE;MUN;MUNNOMBRE;ZONA;PUESTO;PUESNOMBRE;MESA;CORCODIGO;CORNOMBRE;CIR;PAR;PARNOMBRE;CAN;CANNOMBRE;VOTOS
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;018;01;PRESIDENTE;00;1233;COALICION CENTRO ESPERANZA                                                                          ;004;SERGIO FAJARDO;0003
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;018;01;PRESIDENTE;00;0997;VOTOS NULOS;997;VOTOS NULOS .;0005
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;018;01;PRESIDENTE;00;0996;VOTOS EN BLANCO;996;VOTOS EN BLANCO .;0007
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;018;01;PRESIDENTE;00;0304;PARTIDO VERDE OXIGENO                                                                               ;008;INGRID BETANCOURT;0001
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;018;01;PRESIDENTE;00;1235;COALICION PACTO HISTÓRICO                                                                           ;006;GUSTAVO PETRO;0146
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;018;01;PRESIDENTE;00;0302;PARTIDO MOVIMIENTO DE SALVACION NACIONAL                                                            ;005;ENRIQUE GÓMEZ MARTÍNEZ;0001
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;018;01;PRESIDENTE;00;1234;COALICION EQUIPO POR COLOMBIA                                                                       ;003;FEDERICO GUTIÉRREZ;0007
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;018;01;PRESIDENTE;00;0014;COLOMBIA JUSTA LIBRES                                                                               ;002;JOHN MILTON RODRÍGUEZ;0003
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;018;01;PRESIDENTE;00;1076;LIGA DE GOBERNANTES ANTICORRUPCION                                                                  ;001;RODOLFO HERNÁNDEZ;0078
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;016;01;PRESIDENTE;00;1076;LIGA DE GOBERNANTES ANTICORRUPCION                                                                  ;001;RODOLFO HERNÁNDEZ;0094
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;016;01;PRESIDENTE;00;0997;VOTOS NULOS;997;VOTOS NULOS .;0007
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;016;01;PRESIDENTE;00;0996;VOTOS EN BLANCO;996;VOTOS EN BLANCO .;0007
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;016;01;PRESIDENTE;00;0527;COLOMBIA PIENSA EN GRANDE                                                                           ;007;LUIS PÉREZ;0001
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;016;01;PRESIDENTE;00;1235;COALICION PACTO HISTÓRICO                                                                           ;006;GUSTAVO PETRO;0146
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;016;01;PRESIDENTE;00;0302;PARTIDO MOVIMIENTO DE SALVACION NACIONAL                                                            ;005;ENRIQUE GÓMEZ MARTÍNEZ;0001
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;016;01;PRESIDENTE;00;1233;COALICION CENTRO ESPERANZA                                                                          ;004;SERGIO FAJARDO;0005
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;016;01;PRESIDENTE;00;1234;COALICION EQUIPO POR COLOMBIA                                                                       ;003;FEDERICO GUTIÉRREZ;0016
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;016;01;PRESIDENTE;00;0014;COLOMBIA JUSTA LIBRES                                                                               ;002;JOHN MILTON RODRÍGUEZ;0005
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;015;01;PRESIDENTE;00;1076;LIGA DE GOBERNANTES ANTICORRUPCION                                                                  ;001;RODOLFO HERNÁNDEZ;0057
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;015;01;PRESIDENTE;00;0997;VOTOS NULOS;997;VOTOS NULOS .;0002
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;015;01;PRESIDENTE;00;0996;VOTOS EN BLANCO;996;VOTOS EN BLANCO .;0006
15;CUNDINAMARCA;160;MADRID;01;01;COLISEO  CUBIERTO MUNICIPAL;015;01;PRESIDENTE;00;1235;COALICION PACTO HISTÓRICO                                                                           ;006;GUSTAVO PETRO;0154
